individual,Taylor_samples_filtered.vcf.gz,corresponding_ID_fullset_pruned_GSword_Zea,fullset_pruned_GSword_Zea.vcf.gz_callset2,species,admixed,sample_rgion,sample_label_CYP337B3_geneTree,Source_lead_author,source_DOI_html,fullset_SNPs_filtered.vcf.gz_callset1,c15_phylo_CYP337B3.vcf
BRA2,Y,BRA2,Y,armigera_admixed,Y,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831115,Y,Y
BRA4,Y,BRA4,Y,armigera_admixed,Y,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831115,Y,Y
ID_110,Y,110,Y,armigera_admixed,Y,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831115,Y,Y
ID_125,Y,125,Y,armigera_admixed,Y,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831116,Y,Y
ID_131,Y,131,Y,armigera_admixed,Y,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831117,Y,Y
ID_142,Y,142,Y,armigera_admixed,Y,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831118,Y,Y
ID_144,Y,144,Y,armigera_admixed,Y,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831119,Y,Y
M0087,Y,M0087,Y,punctigeractigera,NA,oceanea,H. punctigera,Anderson,https://doi.org/10.1073/pnas.1718831119,Y,Y
M0264,Y,M0264,Y,punctigeractigera,NA,oceanea,H. punctigera,Anderson,https://doi.org/10.1073/pnas.1718831119,Y,Y
TMG4,Y,TMG4,Y,armigera,NA,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831119,Y,Y
TPG2,Y,TPG2,Y,armigera,NA,south_america,H. armigera (Brazil),Anderson,https://doi.org/10.1073/pnas.1718831119,Y,Y
ID_343,N,NA,N,assulta,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831127,Y,N
YC3,N,NA,N,assulta,NA,east_asia,NA,Anderson,https://doi.org/10.1073/pnas.1718831128,Y,N
ARG1,N,NA,N,gelotopoeon,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831129,Y,N
ARG2,N,NA,N,gelotopoeon,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831130,Y,N
ARG3,N,NA,N,gelotopoeon,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831131,Y,N
ARG4,N,NA,N,gelotopoeon,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831132,Y,N
M0236,Y,M0236,Y,punctigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831134,Y,N
M0239,Y,M0239,Y,punctigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831135,Y,N
M0244,Y,M0244,Y,punctigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831136,Y,N
M0245,Y,M0245,Y,punctigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831137,Y,N
M0263,Y,M0263,Y,punctigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831138,Y,N
ID_70,N,70,Y,zea,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831140,Y,N
ID_73,N,73,Y,zea,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831140,Y,N
ID_132,N,132,Y,zea,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831141,Y,N
ID_133,N,NA,N,zea,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831142,Y,N
ID_134,N,134,Y,zea,NA,south_america,NA,Anderson,https://doi.org/10.1073/pnas.1718831143,Y,N
HZRL10,N,HZRL10,Y,unverifiable,unverified,unverifiable,NA,Anderson,https://doi.org/10.1073/pnas.1718831144,Y,N
HZRL12,N,HZRL12,Y,unverifiable,unverified,unverifiable,NA,Anderson,https://doi.org/10.1073/pnas.1718831145,Y,N
HZRL17,N,HZRL17,Y,unverifiable,unverified,unverifiable,NA,Anderson,https://doi.org/10.1073/pnas.1718831146,Y,N
HZRL20,N,HZRL20,Y,unverifiable,unverified,unverifiable,NA,Anderson,https://doi.org/10.1073/pnas.1718831147,Y,N
ID_7,Y,7,Y,armigera,NA,east_asia,NA,Anderson,https://doi.org/10.1073/pnas.1718831148,Y,N
ID_ID_8,Y,8,Y,armigera,NA,east_asia,NA,Anderson,https://doi.org/10.1073/pnas.1718831149,Y,N
ID_ID_10,Y,10,Y,armigera,NA,east_asia,NA,Anderson,https://doi.org/10.1073/pnas.1718831150,Y,N
ID_ID_12,Y,12,Y,armigera,NA,east_asia,NA,Anderson,https://doi.org/10.1073/pnas.1718831151,Y,N
FFM1_3,Y,FFM1.3,Y,armigera,NA,europe,NA,Anderson,https://doi.org/10.1073/pnas.1718831152,Y,N
ID_738,Y,738,Y,armigera,NA,south_asia,NA,Anderson,https://doi.org/10.1073/pnas.1718831155,Y,N
I3,Y,I3,Y,armigera,NA,south_asia,NA,Anderson,https://doi.org/10.1073/pnas.1718831156,Y,N
ICY5L,Y,ICY5L,Y,armigera,NA,south_asia,NA,Anderson,https://doi.org/10.1073/pnas.1718831157,Y,N
MAD13,Y,MAD13,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831158,Y,N
MAD20,Y,MAD20,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831159,Y,N
MAD3,Y,MAD3,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831160,Y,N
MAD5,Y,MAD5,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831161,Y,N
NZ24,Y,NZ24,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831162,Y,N
NZ27,Y,NZ27,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831163,Y,N
NZ29,Y,NZ29,Y,armigera,NA,oceanea,NA,Anderson,https://doi.org/10.1073/pnas.1718831164,Y,N
SEN2,Y,SEN2,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831165,Y,N
SEN6,Y,SEN6,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831166,Y,N
SEN8,Y,SEN8,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831167,Y,N
S_5,Y,S.5,Y,armigera,NA,europe,NA,Anderson,https://doi.org/10.1073/pnas.1718831168,Y,N
UG32L,Y,UG32L,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831169,Y,N
UG37L,Y,UG37L,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831170,Y,N
UG38L,Y,UG38L,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831171,Y,N
UG39L,Y,UG39L,Y,armigera,NA,africa,NA,Anderson,https://doi.org/10.1073/pnas.1718831172,Y,N
SRR15350535,Y,NA,N,zea_2002,NA,north_america,H. zea 2002,Taylor,https://doi.org/10.1073/pnas.2020853118,Y,Y
SRR15350536,Y,NA,N,zea_2002,NA,north_america,H. zea 2002,Taylor,https://doi.org/10.1073/pnas.2020853118,Y,Y
SRR15350538,Y,NA,N,zea_2002,NA,north_america,H. zea 2002,Taylor,https://doi.org/10.1073/pnas.2020853118,Y,Y
SRR15350544,Y,NA,N,zea_2002,NA,north_america,H. zea 2002,Taylor,https://doi.org/10.1073/pnas.2020853118,Y,Y
SRR15350534,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853118,Y,N
SRR15350537,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853121,Y,N
SRR15350539,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853123,Y,N
SRR15350540,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853124,Y,N
SRR15350541,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853125,Y,N
SRR15350542,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853126,Y,N
SRR15350543,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853127,Y,N
SRR15350545,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853129,Y,N
SRR15350546,Y,NA,N,zea_2002,NA,LA_2002,NA,Taylor,https://doi.org/10.1073/pnas.2020853130,Y,N
Ja_12,N,Ja_12,Y,zea_JA,N,JA_2019,NA,this paper,NA,Y,N
